gender,age,married,education,value_main_house,future_expenses,%_spend_future_win,risk,tot_amm_year_retirement_plans,tot_value_retirement_plans,tot_income_month,tot_loans_rest,tot_amm_acc,port_inv_val,ann_inv_income,monthly_expenses
1.0,42.0,2.0,11.0,80.0,1.0,0.0,4.0,0.0,17.0,3.08,20.0,30.0,16.0,0.5,1.66
1.0,46.0,2.0,12.0,1331.798,2.0,0.0,1.0,0.0,3.0,4.0,300.0,10.0,362.0,1.8,3.9
1.0,45.0,6.0,9.0,0.0,1.0,50.0,3.0,0.36,15.0,2.68,11.0,0.05,0.0,0.0,1.78
2.0,69.0,6.0,2.0,0.0,3.0,15.0,4.0,0.36,15.0,0.637,0.4,10.0,0.01,0.0,0.542
1.0,51.0,2.0,11.0,409.409,3.0,100.0,3.0,0.36,15.0,6.1,0.0,110.0,160.597,0.0,5.0
1.0,83.0,2.0,6.0,1000.0,3.0,0.0,4.0,0.36,15.0,0.63,0.0,20.0,0.0,0.0,3.5
1.0,49.0,2.0,10.0,468.909,1.0,50.0,3.0,0.36,15.0,0.0,0.0,43.009,130.0,21.0,1.2
2.0,41.0,5.0,6.0,0.0,1.0,100.0,4.0,0.36,15.0,0.0,0.0,0.0,0.0,0.0,0.6
1.0,80.0,2.0,5.0,500.0,3.0,100.0,4.0,0.36,15.0,2.0,0.0,50.0,500.0,18.0,3.0
1.0,56.0,2.0,6.0,120.0,3.0,20.0,4.0,6.0,40.709,1.8,4.0,15.243,0.0,0.0,1.49
2.0,48.0,1.0,2.0,70.0,3.0,80.0,4.0,0.36,15.0,1.3,168.0,0.1,0.0,0.0,1.354
